feature,mean_abs_shap
age,0.18400937
sbp,0.08164817
Nonrheumatic aortic valve disorders,0.07924782
RDW,0.07630524
weight,0.07068874
Hemoglobin,0.067977436
Creatinine,0.06253386
Magnesium,0.061374176
Bicarbonate,0.059133947
resprate,0.059007425
heartrate,0.05889767
Phosphate,0.057502992
Anemia in chronic diseases classified elsewhere,0.05478712
Potassium,0.05267058
Platelet Count_abnormal_flag,0.05034429
White Blood Cells,0.049794454
missing_Thyroid Stimulating Hormone,0.0466683
Red Blood Cells,0.043345425
Platelet Count,0.04147207
height,0.040833283
Glucose,0.040124126
Anion Gap,0.038718108
MCV,0.03663927
Chronic kidney disease (CKD),0.03615138
Chloride,0.03498098
PTT,0.02806248
PT,0.027261771
Creatine Kinase (CK),0.027073935
Red Blood Cells_abnormal_flag,0.02532697
pH,0.024549374
temperature,0.02392307
Urea Nitrogen,0.023432054
Glucose_normalized_value,0.023179203
MCHC,0.022765862
Lymphocytes,0.022319045
MCH,0.02227489
missing_Ferritin,0.019250164
dbp,0.01923004
Other specified diabetes mellitus,0.018665237
Type 2 diabetes mellitus,0.018593322
Neutrophils,0.017084684
Creatine Kinase (CK)_abnormal_flag,0.015540601
Albumin,0.015096817
Lymphocytes_abnormal_flag,0.014939699
Hematocrit_abnormal_flag,0.013585456
acuity,0.013237998
INR(PT),0.013117049
Thyroid Stimulating Hormone,0.013020471
Acute myocardial infarction,0.012631185
Sodium,0.0122527685
Hematocrit,0.011694363
o2sat,0.011269576
Disorders of lipoprotein metabolism and other lipidemias,0.010815375
Bicarbonate_normalized_value,0.010386576
Phosphate_normalized_value,0.009810022
PTT_abnormal_flag,0.009584281
pO2,0.009181229
pCO2,0.0088629415
Depressive episode,0.008633589
PT_abnormal_flag,0.008592122
"Creatine Kinase, MB Isoenzyme",0.008446202
Troponin T,0.00783508
Potassium_normalized_value,0.007532041
missing_Neutrophils,0.0074421205
missing_Lactate,0.007308095
PTT_normalized_value,0.0068217735
Chronic ischemic heart disease,0.0067308606
marital_status_SINGLE,0.0066668047
gender_male,0.006479022
"Calcium, Total",0.0064053186
Ferritin,0.006399714
Platelet Count_normalized_value,0.0062176962
Other pulmonary heart diseases,0.005988914
Anion Gap_normalized_value,0.0059460048
Cardiomyopathy,0.0055332794
Hemoglobin_normalized_value,0.0053866296
"Calcium, Total_abnormal_flag",0.005331233
PT_normalized_value,0.005277157
Hypertensive chronic kidney disease,0.005187507
missing_pH,0.0050804205
discharge_loc_post_acute_care,0.0049077338
MCH_abnormal_flag,0.0048449584
Other anxiety disorders,0.004535495
